"column","type","dummy_block","dummy_option"
"row_id","numeric",,
"region","single_or_text",,
"district","single_or_text",,
"Интервьюерни танланг:","single_or_text",,
"Кузатув тури","single_or_text",,
"Рўйхат турини танланг:","single_or_text",,
"resp","open_text",,
"Қўшимча респондентнинг тўлиқ исмини киритинг","open_text",,
"Мавжуд кредит тури:","single_or_text",,
"Мавжуд кредит тури: (Бошқа)","single_or_text",,
"Мавжуд кредит қайси банкдан олинган?","single_or_text",,
"holat1","single_or_text",,
"Респондентнинг тўлиқ исмини киритинг","open_text",,
"date_of_birth","open_text",,
"age","numeric",,
"kredit_turi","single_or_text",,
"oilaviy_kredit","numeric",,
"Ушбу сўровномада қатнашишга розимисиз?","single_or_text",,
"1.1. Ёшингиз:","numeric",,
"1.2. Респондент жинси","single_or_text",,
"1.3. Оилавий ҳолатингиз:","single_or_text",,
"1.4. Маълумотингиз:","single_or_text",,
"1.5. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди?","single_or_text",,
"1.5.1. Қуйидагилардан қайси бири сизнинг бандлик ҳолатингизни ифодалайди? (Бошқа)","single_or_text",,
"1.6 Уй хўжалигингиз жами аъзолари сони нечта?","numeric",,
"1.7. Уй хўжалигингизда неча киши даромадли меҳнат (иш) билан банд?","numeric",,
"1.8. 18 ёшга етмаган фарзандларингиз сони?","numeric",,
"1.9. Сиз асосан нималардан доимий даромад топасиз?","single_or_text",,
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Иш ҳақи","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Иш ҳақи"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мустақил тадбиркорлик фаолияти","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Мустақил тадбиркорлик фаолияти"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Халқаро пул ўтказмалари (чет элдаги яқин қариндошидан пул юборилади)","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Халқаро пул ўтказмалари (чет элдаги яқин қариндошидан пул юборилади)"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Пенсия ёки нафақа","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Пенсия ёки нафақа"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Стипендия","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Стипендия"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мулкни ижарага бериш","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Мулкни ижарага бериш"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Қишлоқ хўжалиги маҳсулотларини етиштириш ва сотиш (боғдорчилик, деҳқончилик, чорвачилик)","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Қишлоқ хўжалиги маҳсулотларини етиштириш ва сотиш (боғдорчилик, деҳқончилик, чорвачилик)"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Мавсумий ишлардан олинадиган даромад","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Мавсумий ишлардан олинадиган даромад"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/Доимий даромад манбаи мавжуд эмас","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","Доимий даромад манбаи мавжуд эмас"
"1.9. Сиз асосан нималардан доимий даромад топасиз?/бошқа турдаги даромад","dummy","1.9. Сиз асосан нималардан доимий даромад топасиз?","бошқа турдаги даромад"
"1.9.1. Сиз асосан нималардан доимий даромад топасиз?  (Бошқа)","single_or_text",,
"1.10. Уй хўжалигингиз аъзоларининг жами ойлик даромади?","single_or_text",,
"1-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Кундалик харажатлар учун","dummy","1-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Кундалик харажатлар учун"
"2-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Соғлиқни сақлаш ва таълим харажатлари учун","dummy","2-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Соғлиқни сақлаш ва таълим харажатлари учун"
"3-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Уяли алоқа воситасини сотиб олиш учун","dummy","3-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Уяли алоқа воситасини сотиб олиш учун"
"4-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Ипотека (уй жой) хариди ва (ёки) таъмирлаш учун","dummy","4-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Ипотека (уй жой) хариди ва (ёки) таъмирлаш учун"
"5-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Автомобил хариди учун","dummy","5-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Автомобил хариди учун"
"6-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Тўй ёки оилавий маросимлар ўтказиш учун","dummy","6-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Тўй ёки оилавий маросимлар ўтказиш учун"
